"##characteristics#compile#binary_size#min";"##characteristics#run#execution_time_kernel_0#center";"##characteristics#run#execution_time_kernel_0#halfrange"
32452;3.13738;0.013849
35124;3.275528;0.007121999999999851
34432;3.2185935;0.0073944999999999705
32584;3.4630375;0.0318265000000002
34088;3.3186295;0.0054914999999999825
34432;3.322092;0.010653000000000024
32584;3.1634504999999997;0.0006445000000001588
34464;3.238877;0.0008420000000000094
33480;3.1596835;0.03378649999999994
34432;3.2660885;0.025162499999999977
41072;3.2498895;0.006875500000000034
37576;3.1462635;0.0253985000000001
32108;3.7722235;0.004256499999999885
35032;3.2669995;0.001015500000000058
34472;3.175315;0.0005720000000000169
32188;3.2499015;0.006446500000000022
32500;3.3752044999999997;0.007372500000000004
34832;3.3349265;0.007061500000000054
32800;3.1641779999999997;0.011288999999999882
33572;3.5587955;0.009482499999999838
34096;3.2551135;0.019894500000000148
34600;3.4797830000000003;0.007008000000000125
33624;3.504835;0.007791000000000103
34432;3.2631655;0.0073544999999999305
34568;3.6034385;0.00048749999999997407
34888;3.258652;0.039825
34604;3.265765;0.0009860000000001534
37368;3.322475;0.007656000000000107
37424;3.318383;0.025343000000000115
35360;3.5325125;0.011632499999999935
31560;4.240708;0.006755999999999762
34104;3.3070225;0.010168499999999803
34432;3.227144;0.030737999999999932
34432;3.230759;0.028414999999999857
38104;3.310919;0.007125000000000048
34592;3.1613035;0.025659499999999946
32748;4.870336;0.002038999999999902
33960;3.2228434999999998;0.009674499999999808
31696;4.4007559999999994;0.028185000000000127
35104;3.4175985;0.032114500000000046
32544;3.4337660000000003;0.011603999999999948
32728;3.2475595000000004;0.03674449999999996
35624;3.308585;0.031115000000000004
32636;3.8238295;0.025334500000000038
33176;3.060607;0.0010019999999999474
32880;4.068547000000001;0.014540999999999915
32368;3.1059815;0.02489050000000015
33960;3.323321;0.006870000000000154
35072;3.3985054999999997;0.01086649999999989
33952;3.823169;0.009711000000000025
35088;3.1214525;0.03472450000000005
34672;3.5106135;0.003834499999999963
34904;3.2262305;0.005368500000000109
32224;3.3048764999999998;0.009503499999999887
34536;3.236054;0.018731000000000053
34456;3.263574;0.0007170000000000787
34496;3.189994;0.009630000000000027
34672;3.239417;0.008096999999999799
33128;3.32503;0.010002000000000066
34872;3.4246545;0.010579499999999964
34836;3.2744095;0.03505249999999993
39168;3.3030685;0.021665499999999893
34432;3.2406995;0.002798500000000148
34432;3.3099524999999996;0.011134500000000047
34432;3.243407;0.00641399999999992
34096;4.0425725;0.012718500000000077
34432;3.2480035;0.03272750000000002
33848;3.272841;0.010545000000000027
33784;3.2862615;0.0036354999999999027
33212;3.464223;0.010890999999999984
33296;3.225327;0.01071500000000003
31460;3.1189855;0.030082500000000012
34432;3.232281;0.0018210000000000726
34752;3.5111635000000003;0.007992500000000069
36180;3.4720649999999997;0.003570000000000073
33632;3.1653075;0.00044250000000012335
32820;3.1206665;0.015972500000000167
32584;3.1528159999999996;0.009997000000000034
29980;4.3576285;0.0023165000000000546
34432;3.2861015;0.03152650000000001
32312;3.254716;0.026700999999999864
34432;3.279928;0.009139999999999926
34432;3.2446095;0.010415499999999911
33512;3.2601665;0.02492649999999985
38024;3.333203;0.0012179999999999414
34432;3.2439980000000004;0.018194000000000043
34432;3.253595;0.03553899999999999
34688;3.1114284999999997;0.00037050000000005134
34432;3.806167;0.007325999999999944
32268;3.2670525;0.03361750000000008
31704;3.1451029999999998;0.02848800000000007
34000;3.2225365;0.011497499999999938
32696;3.10751;0.010050000000000114
34592;3.2343615;0.0014264999999999972
34712;3.265518;0.011938000000000004
34936;3.3090615000000003;0.0077735000000001
33232;3.2469265;0.010111500000000051
33464;3.2310795;0.007539500000000032
32884;3.430129;0.01100000000000012
33984;3.2451325;0.010798499999999933
33780;3.376801;0.024941000000000102
34640;3.9026815;0.013324499999999961
34840;3.098527;0.0020900000000001473
32964;3.471007;0.011913000000000062
33680;3.2503325;0.00043250000000005784
34432;3.2499145;0.03667549999999986
35084;3.426116;0.02667200000000003
33308;3.324118;0.00040599999999990644
34632;3.2329015;0.0017125000000000057
32868;5.0489945;0.02451150000000002
34648;3.2381495;0.02520649999999991
34432;3.3533165;0.0003484999999998628
34568;3.3488245;0.010428499999999952
35496;3.2607075;0.01090150000000012
31760;3.090778;0.00959500000000002
33688;3.1073804999999997;0.024137499999999923
34496;3.0331985;0.009480500000000003
34468;3.247699;0.006064999999999987
34432;3.396286;0.011314999999999964
32288;3.263408;0.044348000000000054
34432;3.2677565;0.031266500000000086
33352;3.1024135;0.0019184999999999341
34432;3.263432;0.0018849999999999145
37016;3.54218;0.007131999999999916
31188;4.119144;0.02489600000000003
36488;3.2497404999999997;0.012267499999999876
33952;3.2362390000000003;0.024316000000000004
32768;3.1240560000000004;0.0011010000000000186
32744;4.1929305;0.0075785000000001546
34472;3.3129585;0.01020449999999995
32736;3.91404;0.01313999999999993
32696;3.3774385000000002;0.008631500000000125
37072;3.2175570000000002;0.0105630000000001
34608;3.7726515000000003;0.03480349999999999
38560;3.455128;0.020618000000000025
33800;3.098985;0.005706999999999907
31412;3.2112595;0.009096500000000063
33868;3.1607960000000004;0.013932999999999973
34432;3.2858004999999997;0.006581500000000018
34464;3.261227;0.009619999999999962
31792;3.4291549999999997;0.05165799999999998
33848;3.223614;0.01119799999999982
34432;3.8724605;0.00789149999999994
33236;3.1707644999999998;0.03771150000000012
35096;3.1132455;0.00911850000000003
33840;3.2672645;0.0013084999999999347
34432;3.8201525;0.0056035000000000945
35568;3.1420925000000004;0.009507500000000002
34464;3.1628040000000004;0.025071999999999983
34624;3.390594;0.0251269999999999
33636;3.2543655;0.009678500000000145
33104;3.0959025000000002;0.02400749999999996
34432;3.2542695;0.035434500000000035
34432;3.327823;0.004697999999999869
34116;3.3092680000000003;0.014871000000000079
32116;3.1200385;0.0004735000000000156
33492;3.2663634999999998;0.03393249999999992
34432;3.4698140000000004;0.012224000000000013
34168;3.161913;0.026793999999999984
34016;3.231446;0.023249999999999993
33592;3.292909;0.031684000000000045
33640;3.2886335;0.0072684999999999
34432;3.3207215000000003;0.0029535000000000533
34432;3.234501;9.700000000001374e-05
38560;3.2748755000000003;0.0018865000000001242
34432;3.2385025;0.02469750000000004
34416;3.3505215;0.02491549999999987
32692;3.3582415;0.00045549999999994206
31780;3.2368725;0.014572499999999877
34432;3.270214;0.03489900000000001
34432;3.2239465000000003;0.010834499999999858
36280;3.1042815;0.021572499999999994
32476;3.3114065;0.02862650000000011
34748;3.1172285000000004;0.0022925000000000306
33568;4.3381965000000005;0.03314249999999985
33024;4.2454535;0.006670500000000246
37824;3.3688145;0.006217499999999987
36748;3.123306;0.010553999999999952
31456;3.994714;0.02344999999999975
34432;3.266394;0.01027699999999987
33912;3.325314;0.01532700000000009
34432;3.261444;0.0036520000000002106
34432;3.0750375;0.01028349999999989
33088;4.2720855;0.00858649999999983
34840;3.2866619999999998;0.009130000000000082
32540;3.2201994999999997;0.010603499999999988
32692;3.1879605;0.0005065000000001874
35184;3.2336265;0.0017125000000000057
34436;3.2331554999999996;0.024871499999999935
34016;3.707252;0.0018090000000001716
33672;3.200185;0.0036000000000000476
38656;3.4679525;0.018363499999999977
33968;3.2802844999999996;0.03203650000000002
34760;3.261872;0.03291500000000003
32592;3.19744;0.007301000000000002
33912;3.2702714999999998;0.02539450000000021
34432;3.2779439999999997;0.004225999999999841
32724;3.26024;0.017148000000000163
34432;3.301835;0.00448599999999999
32088;3.050953;0.009136000000000033
34432;3.2185935;0.0073944999999999705
31460;3.1189855;0.030082500000000012
29980;4.3576285;0.0023165000000000546
31760;3.090778;0.00959500000000002
34496;3.0331985;0.009480500000000003
34432;3.2560015;0.023872499999999963
32088;3.050953;0.009136000000000033
34432;3.2185935;0.0073944999999999705
29980;4.3576285;0.0023165000000000546
32744;4.909873;0.0012340000000001794
33792;3.2329935;0.002543500000000032
58008;11.538542;0.005034000000000205
34432;3.205328;0.010939000000000032
35552;4.4945635;0.03365750000000034
33216;4.470938500000001;0.013394499999999976
33280;4.435548;0.03598899999999983
58368;11.135583;0.04054599999999997
35552;4.4956309999999995;0.0322960000000001
33788;3.412228;0.0021169999999999245
33384;3.6814695;0.027827499999999894
35504;3.3106445;0.0330045000000001
32184;6.1623730000000005;0.025415000000000187
32808;4.617837;0.018000999999999934
36360;4.3022575;0.020339499999999955
36360;4.253997999999999;0.01523500000000011
33940;3.3337;0.0006159999999999499

